,Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+,Year
0,1,Doug Drabek,PIT,118.0,23.0,98%,4.2,22,6,0.786,2.76,33,33,0,9,3,0,231.1,190,78,71,15,56,2,131,3,0,6,918,1.063,131,1990
1,2,Ramon Martinez,LAD,70.0,1.0,58%,3.9,20,6,0.769,2.92,33,33,0,12,3,0,234.1,191,89,76,22,67,5,223,4,3,3,950,1.101,126,1990
2,3,Frank Viola,NYM,19.0,0.0,16%,6.4,20,12,0.625,2.67,35,35,0,7,3,0,249.2,227,83,74,15,60,2,182,2,0,11,1016,1.15,141,1990
3,4,Dwight Gooden,NYM,8.0,0.0,7%,2.5,19,7,0.731,3.83,34,34,0,2,1,0,232.2,229,106,99,10,70,3,223,7,3,6,983,1.285,98,1990
4,5,Randy Myers,CIN,1.0,0.0,1%,3.1,4,6,0.4,2.08,66,0,59,0,0,31,86.2,59,24,20,6,38,8,98,3,1,2,353,1.119,193,1990
0,1,Tom Glavine,ATL,110.0,19.0,92%,8.5,20,11,0.645,2.55,34,34,0,9,1,0,246.2,201,83,70,17,69,6,192,2,2,10,989,1.095,153,1991
1,2,Lee Smith,STL,60.0,4.0,50%,2.3,6,3,0.667,2.34,67,0,61,0,0,47,73.0,70,19,19,5,13,5,67,0,0,1,300,1.137,158,1991
2,3,John Smiley,PIT,26.0,0.0,22%,3.5,20,8,0.714,3.08,33,32,0,2,1,0,207.2,194,78,71,17,44,0,129,3,1,3,836,1.146,116,1991
3,4,Jose Rijo,CIN,13.0,1.0,11%,5.5,15,6,0.714,2.51,30,30,0,3,1,0,204.1,165,69,57,8,55,4,172,3,4,2,825,1.077,153,1991
4,5,Dennis Martinez,MON,4.0,0.0,3%,5.8,14,11,0.56,2.39,31,31,0,9,5,0,222.0,187,70,59,9,62,3,123,4,0,3,905,1.122,153,1991
5,6,Steve Avery,ATL,1.0,0.0,1%,5.2,18,8,0.692,3.38,35,35,0,3,1,0,210.1,189,89,79,21,65,0,137,3,1,4,868,1.208,116,1991
6,6,Andy Benes,SDP,1.0,0.0,1%,4.4,15,11,0.577,3.03,33,33,0,4,1,0,223.0,194,76,75,23,59,7,167,4,4,3,908,1.135,126,1991
7,6,Mitch Williams,PHI,1.0,0.0,1%,2.9,12,5,0.706,2.34,69,0,60,0,0,30,88.1,56,24,23,4,62,5,84,8,1,4,386,1.336,157,1991
0,1,Greg Maddux,CHC,112.0,20.0,93%,9.1,20,11,0.645,2.18,35,35,0,9,4,0,268.0,201,68,65,7,70,7,199,14,0,5,1061,1.011,166,1992
1,2,Tom Glavine,ATL,78.0,4.0,65%,3.7,20,8,0.714,2.76,33,33,0,7,5,0,225.0,197,81,69,6,70,7,129,2,0,5,919,1.187,134,1992
2,3,Bob Tewksbury,STL,22.0,0.0,18%,6.4,16,5,0.762,2.16,33,32,1,5,0,0,233.0,217,63,56,15,20,0,91,3,0,2,915,1.017,158,1992
3,4,Lee Smith,STL,3.0,0.0,3%,0.6,4,9,0.308,3.12,70,0,55,0,0,43,75.0,62,28,26,4,26,4,60,0,0,2,310,1.173,110,1992
4,5,Doug Drabek,PIT,1.0,0.0,1%,5.3,15,11,0.577,2.77,34,34,0,10,4,0,256.2,218,84,79,17,54,8,177,6,1,11,1021,1.06,126,1992
0,1,Greg Maddux,ATL,119.0,22.0,85%,5.8,20,10,0.667,2.36,36,36,0,8,1,0,267.0,228,85,70,14,52,7,197,6,1,5,1064,1.049,170,1993
1,2,Bill Swift,SFG,61.0,2.0,44%,4.5,21,8,0.724,2.82,34,34,0,1,1,0,232.2,195,82,73,18,55,5,157,6,0,4,928,1.074,138,1993
2,3,Tom Glavine,ATL,49.0,4.0,35%,3.3,22,6,0.786,3.2,36,36,0,4,2,0,239.1,236,91,85,16,90,7,120,2,0,4,1014,1.362,126,1993
3,4,John Burkett,SFG,9.0,0.0,6%,2.6,22,7,0.759,3.65,34,34,0,2,1,0,231.2,224,100,94,18,40,4,145,11,2,1,942,1.14,107,1993
4,5,Jose Rijo,CIN,8.0,0.0,6%,9.2,14,9,0.609,2.48,36,36,0,2,1,0,257.1,218,76,71,19,62,2,227,2,1,0,1029,1.088,162,1993
5,6,Tommy Greene,PHI,2.0,0.0,1%,3.6,16,4,0.8,3.42,31,30,0,7,2,0,200.0,175,84,76,12,62,3,167,3,0,15,834,1.185,116,1993
6,6,Mark Portugal,HOU,2.0,0.0,1%,3.8,18,4,0.818,2.77,33,33,0,1,1,0,208.0,194,75,64,10,77,3,131,4,2,9,876,1.303,139,1993
7,8,Bryan Harvey,FLA,1.0,0.0,1%,4.0,1,5,0.167,1.7,59,0,54,0,0,45,69.0,45,14,13,4,13,2,73,0,1,0,264,0.841,252,1993
8,8,Randy Myers,CHC,1.0,0.0,1%,1.3,2,4,0.333,3.11,73,0,69,0,0,53,75.1,65,26,26,7,26,2,86,1,0,3,313,1.208,127,1993
0,1,Greg Maddux,ATL,140.0,28.0,100%,8.5,16,6,0.727,1.56,25,25,0,10,3,0,202.0,150,44,35,4,31,3,156,6,1,3,774,0.896,271,1994
1,2,Ken Hill,MON,56.0,0.0,40%,3.0,16,5,0.762,3.32,23,23,0,2,1,0,154.2,145,61,57,12,44,7,85,6,0,3,647,1.222,127,1994
2,3,Bret Saberhagen,NYM,42.0,0.0,30%,5.5,14,4,0.778,2.74,24,24,0,4,0,0,177.1,169,58,54,13,13,0,143,4,0,0,696,1.026,153,1994
3,4,Doug Drabek,HOU,4.0,0.0,3%,3.4,12,6,0.667,2.84,23,23,0,6,2,0,164.2,132,58,52,14,45,2,121,2,0,2,657,1.075,140,1994
4,4,Marvin Freeman,COL,4.0,0.0,3%,4.5,10,2,0.833,2.8,19,18,0,0,0,0,112.2,113,39,35,10,23,2,67,5,0,4,465,1.207,179,1994
5,6,Danny Jackson,PHI,3.0,0.0,2%,4.7,14,6,0.7,3.26,25,25,0,4,1,0,179.1,183,71,65,13,46,1,129,2,0,2,755,1.277,132,1994
6,7,John Franco,NYM,2.0,0.0,1%,0.9,1,4,0.2,2.7,47,0,43,0,0,30,50.0,47,20,15,2,19,0,42,1,0,1,216,1.32,156,1994
7,8,Rod Beck,SFG,1.0,0.0,1%,0.8,2,4,0.333,2.77,48,0,47,0,0,28,48.2,49,17,15,10,13,2,39,0,0,0,207,1.274,144,1994
0,1,Greg Maddux,ATL,140.0,28.0,100%,9.7,19,2,0.905,1.63,28,28,0,10,3,0,209.2,147,39,38,8,23,3,181,4,0,1,785,0.811,260,1995
1,2,Pete Schourek,CIN,55.0,0.0,39%,4.1,18,7,0.72,3.22,29,29,0,2,0,0,190.1,158,72,68,17,45,3,160,8,1,1,754,1.067,128,1995
2,3,Tom Glavine,ATL,30.0,0.0,21%,4.8,16,7,0.696,3.08,29,29,0,3,1,0,198.2,182,76,68,9,66,0,127,5,0,3,822,1.248,137,1995
3,4,Hideo Nomo,LAD,29.0,0.0,21%,4.7,13,6,0.684,2.54,28,28,0,4,3,0,191.1,124,63,54,14,78,2,236,5,5,19,780,1.056,149,1995
4,5,Ramon Martinez,LAD,8.0,0.0,6%,2.3,17,7,0.708,3.66,30,30,0,4,2,0,206.1,176,95,84,19,81,5,138,5,0,3,859,1.246,103,1995
0,1,John Smoltz,ATL,136.0,26.0,97%,7.4,24,8,0.75,2.94,35,35,0,6,2,0,253.2,199,93,83,19,55,3,276,2,1,10,995,1.001,149,1996
1,2,Kevin Brown,FLA,88.0,2.0,63%,7.9,17,11,0.607,1.89,32,32,0,5,3,0,233.0,187,60,49,8,33,2,159,16,1,6,906,0.944,215,1996
2,3,Andy Benes,STL,9.0,0.0,6%,2.4,18,10,0.643,3.83,36,34,1,3,1,1,230.1,215,107,98,28,77,7,160,6,0,6,963,1.268,109,1996
3,4,Hideo Nomo,LAD,5.0,0.0,4%,4.7,16,11,0.593,3.19,33,33,0,3,2,0,228.1,180,93,81,23,85,6,234,2,3,11,932,1.161,122,1996
4,5,Trevor Hoffman,SDP,4.0,0.0,3%,3.8,9,5,0.643,2.25,70,0,62,0,0,42,88.0,50,23,22,6,31,5,111,2,0,2,348,0.92,177,1996
5,5,Greg Maddux,ATL,4.0,0.0,3%,7.2,15,11,0.577,2.72,35,35,0,5,1,0,245.0,225,85,74,11,28,11,172,3,0,4,978,1.033,162,1996
6,5,Todd Worrell,LAD,4.0,0.0,3%,0.9,4,6,0.4,3.03,72,0,67,0,0,44,65.1,70,29,22,5,15,1,66,2,1,4,285,1.301,129,1996
7,8,Denny Neagle,TOT,2.0,0.0,1%,6.0,16,9,0.64,3.5,33,33,0,2,0,0,221.1,226,93,86,26,48,2,149,3,1,3,910,1.238,126,1996
8,9,Jeff Fassero,MON,1.0,0.0,1%,5.6,15,11,0.577,3.3,34,34,0,5,1,0,231.2,217,95,85,20,55,3,222,3,2,5,967,1.174,131,1996
9,9,Al Leiter,FLA,1.0,0.0,1%,5.5,16,12,0.571,2.93,33,33,0,2,1,0,215.1,153,74,70,14,119,3,200,11,0,5,896,1.263,139,1996
10,9,Shane Reynolds,HOU,1.0,0.0,1%,3.6,16,10,0.615,3.65,35,35,0,4,1,0,239.0,227,103,97,20,44,3,204,8,1,5,981,1.134,105,1996
0,1,Pedro Martinez,MON,134.0,25.0,96%,9.0,17,8,0.68,1.9,31,31,0,13,4,0,241.1,158,65,51,16,67,5,305,9,1,3,947,0.932,219,1997
1,2,Greg Maddux,ATL,75.0,3.0,54%,7.8,19,4,0.826,2.2,33,33,0,5,2,0,232.2,200,58,57,9,20,6,177,6,0,0,893,0.946,189,1997
2,3,Denny Neagle,ATL,24.0,0.0,17%,4.5,20,5,0.8,2.97,34,34,0,4,4,0,233.1,204,87,77,18,49,5,172,6,0,3,947,1.084,140,1997
3,4,Curt Schilling,PHI,12.0,0.0,9%,6.3,17,11,0.607,2.97,35,35,0,7,2,0,254.1,208,96,84,25,58,3,319,5,1,5,1009,1.046,143,1997
4,5,Darryl Kile,HOU,7.0,0.0,5%,5.4,19,7,0.731,2.57,34,34,0,6,4,0,255.2,208,87,73,19,94,2,205,10,1,7,1056,1.181,156,1997
